[('n03100240', 'convertible', 0.23573126), ('n03459775', 'grille', 0.22292762), ('n03930630', 'pickup', 0.19555597), ('n03670208', 'limousine', 0.11973676), ('n04285008', 'sports_car', 0.056281783)]
[('n03930630', 'pickup', 0.87428963), ('n04461696', 'tow_truck', 0.049748983), ('n03594945', 'jeep', 0.02000143), ('n03770679', 'minivan', 0.0128326705), ('n04252225', 'snowplow', 0.007320913)]
[('n03770679', 'minivan', 0.49937302), ('n03459775', 'grille', 0.1630168), ('n02930766', 'cab', 0.13336408), ('n03100240', 'convertible', 0.0684206), ('n02814533', 'beach_wagon', 0.04700273)]
[('n04285008', 'sports_car', 0.45300254), ('n02974003', 'car_wheel', 0.16287264), ('n03100240', 'convertible', 0.10100115), ('n02814533', 'beach_wagon', 0.08193274), ('n03930630', 'pickup', 0.0791729)]
[('n04037443', 'racer', 0.61662096), ('n04285008', 'sports_car', 0.13577025), ('n02704792', 'amphibian', 0.064724475), ('n02974003', 'car_wheel', 0.062998585), ('n03100240', 'convertible', 0.05822939)]
[('n04285008', 'sports_car', 0.8785201), ('n04037443', 'racer', 0.07184314), ('n03100240', 'convertible', 0.032620907), ('n03459775', 'grille', 0.008167633), ('n02974003', 'car_wheel', 0.00347502)]
[('n03930630', 'pickup', 0.8043259), ('n03594945', 'jeep', 0.14081688), ('n04461696', 'tow_truck', 0.024094444), ('n03345487', 'fire_engine', 0.016229138), ('n04252225', 'snowplow', 0.003814553)]
[('n04285008', 'sports_car', 0.94380206), ('n04037443', 'racer', 0.046518873), ('n03100240', 'convertible', 0.0036595124), ('n02974003', 'car_wheel', 0.0015916942), ('n04252077', 'snowmobile', 0.0015654623)]
[('n03670208', 'limousine', 0.69514513), ('n04285008', 'sports_car', 0.13976805), ('n03100240', 'convertible', 0.05631022), ('n02974003', 'car_wheel', 0.044888854), ('n03930630', 'pickup', 0.022102393)]
[('n03459775', 'grille', 0.32108906), ('n04037443', 'racer', 0.2185817), ('n04285008', 'sports_car', 0.12409558), ('n02974003', 'car_wheel', 0.089005195), ('n03670208', 'limousine', 0.086622596)]
[('n04037443', 'racer', 0.40218085), ('n03930630', 'pickup', 0.25119373), ('n03895866', 'passenger_car', 0.086071275), ('n03459775', 'grille', 0.044470664), ('n04285008', 'sports_car', 0.033582084)]
[('n03770679', 'minivan', 0.48099768), ('n03769881', 'minibus', 0.203303), ('n03930630', 'pickup', 0.14429641), ('n03670208', 'limousine', 0.06970595), ('n03796401', 'moving_van', 0.043245018)]
